
TimeEdit,Linköpings universitet
"Y3.a, CIV ING UTB TEKNISK FYSIK O ELEKTROTEKNIK",2018-07-30 - 2019-07-01,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Lokal,Undervisningstyp,Lärare,Studentgrupp,Fria grupper,Information till student,Studentförening,URL 
2018-10-03,10:15,2018-10-03,12:00,TATA77,U11,Lektion,Lars Alexandersson,"MAT3,Y3",Grupp B,,,
2018-10-03,10:15,2018-10-03,12:00,TATA77,U14,Lektion,Mats Aigner,"MAT3,Y3",Grupp A,,,
2018-10-03,13:15,2018-10-03,15:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A2,Grupp B2",,,
2018-10-03,13:15,2018-10-03,15:00,TDDC76,SU17/18,Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C2,Grupp D2",,,
2018-10-03,15:15,2018-10-03,17:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A1,Grupp B1",,,
2018-10-03,15:15,2018-10-03,17:00,TDDC76,SU17/18,Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C1,Grupp D1",,,
2018-10-03,17:15,2018-10-03,19:00,,C2,Information,"Kia (christina) Ölvander,Tea Nygren,Torun Berlind,Åsa Olsson","BIO2,D2,D3,DI2,DI3,EL2,FyN2,IP2,IT2,IT3,KA1,KA2,KB1,KB2ci,KB2nv,KB3ci,KB3nv,KEM1,KEM2,MAT2,MED2,MED3,PRO1,TB2,TB3,U2,U3,Y2,Y3,Yi3",,Information utlandsstudier 2019/2020,,
2018-10-04,08:15,2018-10-04,10:00,TFYA43,BL32,Föreläsning,,"BME2,FyN2,MSN1,Y3",,,,
2018-10-04,13:15,2018-10-04,15:00,TATA77,U10,Lektion,Mats Aigner,"MAT3,Y3",Grupp A,,,
2018-10-04,13:15,2018-10-04,15:00,TATA77,U11,Lektion,Lars Alexandersson,"MAT3,Y3",Grupp B,,,
2018-10-04,15:15,2018-10-04,17:00,TATA77,Planck,Föreläsning,Mats Aigner,"MAT3,Y3",,,,
2018-10-05,08:15,2018-10-05,10:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A2,Grupp B2",,,
2018-10-05,08:15,2018-10-05,10:00,TDDC76,SU17/18,Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C2,Grupp D2",,,
2018-10-05,10:15,2018-10-05,12:00,TATA77,U11,Lektion,Lars Alexandersson,"MAT3,Y3",Grupp B,,,
2018-10-05,10:15,2018-10-05,12:00,TATA77,U14,Lektion,Mats Aigner,"MAT3,Y3",Grupp A,,,
2018-10-05,13:15,2018-10-05,15:00,TAMS24,S27,Lektion,Denise Uwamariya,Y3.a,,,,
2018-10-05,15:15,2018-10-05,17:00,TFYA43,BL32,Föreläsning,,"BME2,FyN2,MSN1,Y3",,reserv,,
2018-10-08,08:15,2018-10-08,10:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A1,Grupp B1",,,
2018-10-08,08:15,2018-10-08,10:00,TDDC76,SU17/18,Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C1,Grupp D1",,,
2018-10-08,10:15,2018-10-08,12:00,TFYA43,A25,Föreläsning,,"BME2,FyN2,MSN1,Y3",,,,
